,Run Number,Week Number,Waiting List
385,Run Number 7,22,88
386,Run Number 7,23,101
387,Run Number 7,24,110
388,Run Number 7,25,114
389,Run Number 7,26,121
390,Run Number 7,27,125
391,Run Number 7,28,133
392,Run Number 7,29,142
393,Run Number 7,30,152
394,Run Number 7,31,163
395,Run Number 7,32,162
396,Run Number 7,33,170
397,Run Number 7,34,177
398,Run Number 7,35,185
399,Run Number 7,36,190
400,Run Number 7,37,196
401,Run Number 7,38,201
402,Run Number 7,39,211
403,Run Number 7,40,218
404,Run Number 7,41,230
405,Run Number 7,42,234
406,Run Number 7,43,244
407,Run Number 7,44,251
408,Run Number 7,45,261
409,Run Number 7,46,266
410,Run Number 7,47,272
411,Run Number 7,48,277
412,Run Number 7,49,286
413,Run Number 7,50,292
414,Run Number 7,51,297
415,Run Number 7,52,303
416,Run Number 8,1,9
417,Run Number 8,2,10
418,Run Number 8,3,6
419,Run Number 8,4,11
420,Run Number 8,5,6
421,Run Number 8,6,4
422,Run Number 8,7,13
423,Run Number 8,8,10
424,Run Number 8,9,4
425,Run Number 8,10,5
426,Run Number 8,11,4
427,Run Number 8,12,7
428,Run Number 8,13,10
429,Run Number 8,14,8
430,Run Number 8,15,13
431,Run Number 8,16,22
432,Run Number 8,17,31
433,Run Number 8,18,47
434,Run Number 8,19,56
435,Run Number 8,20,66
436,Run Number 8,21,74
437,Run Number 8,22,82
438,Run Number 8,23,88
439,Run Number 8,24,97
440,Run Number 8,25,105
441,Run Number 8,26,114
442,Run Number 8,27,119
443,Run Number 8,28,130
444,Run Number 8,29,137
445,Run Number 8,30,141
446,Run Number 8,31,150
447,Run Number 8,32,158
448,Run Number 8,33,164
449,Run Number 8,34,171
450,Run Number 8,35,182
451,Run Number 8,36,188
452,Run Number 8,37,196
453,Run Number 8,38,202
454,Run Number 8,39,204
455,Run Number 8,40,215
456,Run Number 8,41,224
457,Run Number 8,42,222
458,Run Number 8,43,225
459,Run Number 8,44,241
460,Run Number 8,45,251
461,Run Number 8,46,261
462,Run Number 8,47,266
463,Run Number 8,48,278
464,Run Number 8,49,289
465,Run Number 8,50,295
466,Run Number 8,51,307
467,Run Number 8,52,318
468,Run Number 9,1,2
469,Run Number 9,2,11
470,Run Number 9,3,5
471,Run Number 9,4,7
472,Run Number 9,5,12
473,Run Number 9,6,6
474,Run Number 9,7,11
475,Run Number 9,8,7
476,Run Number 9,9,9
477,Run Number 9,10,6
478,Run Number 9,11,11
479,Run Number 9,12,11
480,Run Number 9,13,6
481,Run Number 9,14,12
482,Run Number 9,15,17
483,Run Number 9,16,24
484,Run Number 9,17,32
485,Run Number 9,18,36
486,Run Number 9,19,40
487,Run Number 9,20,45
488,Run Number 9,21,52
489,Run Number 9,22,56
490,Run Number 9,23,62
491,Run Number 9,24,76
492,Run Number 9,25,81
493,Run Number 9,26,91
494,Run Number 9,27,96
495,Run Number 9,28,108
496,Run Number 9,29,115
497,Run Number 9,30,117
498,Run Number 9,31,125
499,Run Number 9,32,134
500,Run Number 9,33,136
501,Run Number 9,34,142
502,Run Number 9,35,153
503,Run Number 9,36,155
504,Run Number 9,37,160
505,Run Number 9,38,169
506,Run Number 9,39,174
507,Run Number 9,40,186
508,Run Number 9,41,187
509,Run Number 9,42,190
510,Run Number 9,43,195
511,Run Number 9,44,199
512,Run Number 9,45,207
513,Run Number 9,46,211
514,Run Number 9,47,215
515,Run Number 9,48,224
516,Run Number 9,49,236
517,Run Number 9,50,242
518,Run Number 9,51,247
519,Run Number 9,52,254
